Article,Subject
" This includes simple everyday devices like house lamps or coffee makers, to the watch you wear on your wrist or even the car you drive. Every smart device is embedded with a sensor or mini computer processor that can configure data and send that information to cloud computing servers through a secure internet connection. These cloud computing servers are also known as common IoT platforms that provide the common language for a set of diverse devices and applications to communicate with one another. Or in this particular example, your car knew exactly what was wrong with it, told the manufacturer, scheduled a time for you to come into the nearest certified dealer, and had the parts ready for your car long before you knew what the issue was. Impact on Businesses With increased data at their fingertips concerning the state of their product, and how users are consuming it, companies can use this information to improve on the product’s next iteration and even reduce cost/waste. For example, by continuously collecting information on all cars of the same model, the manufacturer not only has historical data to pull from, but the manufacturer can gain a better understanding how their product has played out in the field. If the same brake issue appears to be a reoccurring issue with other cars, the manufacturer can pinpoint which specific factory the cars were made at, whether or not they used the same parts, or if they came off the inventory line the same day. More important than ever, as we transition to a world of connected devices, companies are trying to determine how best to protect their information for the sake of their business and their consumers.",TECHNOLOGY
" “The two-year project, which relied on data from researchers in more than 130 countries documenting the causes of disease and premature deaths in recent decades, found that poor air quality was the most significant pollution-related killer.” In order to improve air quality in polluted areas, we need to start to meticulously measure, monitor, and manage pollution. Currently, when cities start environmental programs to monitor air pollution, officials usually purchase full-scale air quality monitoring stations. Networks of connected sensors gather and send data to the processing center to identify high pollution, observe changes during different periods, and take appropriate action. We believe that stationary sensors are a great way to gather relevant pollution data but limitations exist which can constrain efficient environmental program realization. In 2018 we have collaborated with ITMO University and DAO IPCI to explore the opportunity of using mobile robotics equipped with sensors for environmental monitoring purposes. The research consisted of 3 major components: The studies were carried out by simultaneously measuring the pollutants with drone sensors and standard eco-analytical methods most commonly used in environmental monitoring and control (using portable gas analyzers, collecting and analyzing samples by chromatographic, spectrophotometric methods). As expected, results indicate high convergence of the results obtained by drone sensors and portable gas analyzers when measuring the content of gaseous pollutants in atmospheric air. This proves that it is feasible to use mobile robots, such as drones, to collect data about greenhouse gases (CO2, CO, NO, SO2) and to perform environmental monitoring at scale. To organize online environmental monitoring in an urban environment with its complex system of horizontal and vertical movement of air masses, it is necessary to organize a network of stationary measuring systems and UAVs equipped with sensors. The real world tests proved that the combination of stationary measuring systems and mobile robots can result in the most flexible and accurate environmental monitoring. Dczd.tech is suitable for applications involving different kinds of mobile robots, such as aerial drones, ground rovers, and autonomous cars, as well as waterborne drones! As a part of our effort to develop sustainable solutions for environmental monitoring, we have developed a solution for water inspections using the same stack of decentralized technologies. To restore the ecological balance of water bodies that have reached toxic stages, as is observed on the Volga, it is necessary to organize monitoring systems with a significant number of measuring stations and real-time continuous monitoring. Creating a network of autonomous waterborne drones for measuring nutrients in water will allow to obtain operational information about the current state of the water body in different areas which, in turn, will allow to determine the source of pollution and take appropriate action. The use of autonomous drones allows collecting accurate data about air pollution in specific locations and times to regulate natural capital markets. We have been working on an interface that allows environmental program operators to order autonomous inspection missions using mobile robots. We expect that mobile robotics can significantly improve the level of environmental control in cities, as well as in areas that require frequent monitoring of gas emissions, such as industrial facilities, landfills, waste recycling sites, oil and gas refineries, ports, roads, etc. Dczd.tech will continue working on solutions that will allow organizations and governments to set up environmental monitoring with the help of mobile robots as a part of our mission to help companies hire robots!",TECHNOLOGY
" He points out that impressive though the technosphere is, in improving quality of life and outgrowing even nation states in power, failing to recognise it as entirely a construct of the human intellect, subject to its boundaries, as well as those of Nature, is dangerous and too common a fallacy of modern thinking. As millenials increasingly shun brands without a purpose, tech companies come around to the idea that sci-fi fueled solutionism and ever-faster spinning wheels of innovation might actually benefit from checks and balances. Sustainable digitalization is the order of the day, and this doodle helps remind us that exciting and impactful though all the stuff on the left may be, that stuff on the right sets the limits, and is what people actually care about. A big takeaway from the Digital Detox and Screen Time debates is that regardless if we look at the people at the receiving end of what we put out as Customers, Users, Citizens or, y’know, People, we must recognise that all they have to spend in life is time and attention, and our task is to help them spend it well. This second doodle helps capture brand identity and evaluate ideas, towards the making only what people will love. Scandinavian Design aesthetic, understated copy, urban career+adventure late-twenty-somethings in sparse Golden Hour moments in stern Scandinavian scenery, conscious modern electronica in minor key, local hand crafted interior details. This actually covers two opposite mindsets, which are tricky to balance: at any one moment, we may want to save a person’s time and attention, or make (not necessarily take) the most of it. Example #1: Scandinavian Car Brand, luxury car concept: ceiling projection, scent and custom soundscapes evoke Scandinavian nature and helps weary businessmen unwind, making the most of urban transportation. Example #2: Scandinavian Car Brand, concierge service: digital keys and app enable a range of services delivered directly to your car–goods, valet, fuel & wash– offering convenience and saving precious time on everyday tasks. It captures the deep, transformative effect our brand or product (supposedly) has on life, society and world, and helps align brand vision & mission with customer ideals to achieve life journey fit. It is the domain of leaders, marketers, concept developers and strategists, conveyed through founding stories, mission statements, top-line copy, visionary concepts. Example #1: Scandinavian Car Brand, Vision 2020: “No one should be killed or seriously injured in a new car of our make.” This statement taps into company heritage, directs product development and frames new feature launches. Example #2: Global Toy Brand mission statement: “To inspire and develop the builders of tomorrow.” This emphasises their deep knowledge of children’s development and the role of all their products in achieving that. Strong brands, ideas and products deliver all three––Meaning, Pleasure and Flow––and doing so takes a strong collaboration between all disciplines outlined above. A commendable step towards bridging the cultural gap between these three disciplines, hailing as they are from the different home planets of design, business and tech. The above model is not only useful for management, but for understanding the nature of problems, which is key when looking at the final big topic in tech in the last doodle. At the peak of the big AI buzz/scare, back in April, Venkatesh Rao put out a brilliant, entertaining ramble about the ill posed threat of AI as a Man vs Machine intelligence arms race. It argues the latter as a supreme survival strategy and humanity’s defining trait (The B-Ark is a reference to geek favourite Hitch-hiker’s Guide To The Galaxy, in which an optimisation of sorts ends up upending civilisation in an unfortunate twist of fate.) With even more luck, we might follow the breakneck pace of development in the world’s largest data pool without feeling the need to throw “Orwellian dystopia” into every other sentence.",TECHNOLOGY
"  This week I’m heading to CES, the trade show featuring latest gadgets and gizmos galore. While I look forward to seeing what CES has to offer, my technology wish for 2019 isn’t a piece of shiny new hardware. My hope for 2019 is that our leading technology companies communicate their practices and policies with more transparency. Here’s why: Each week brought new headlines presenting big tech as the bad guy. Apple throttling performance of older iPhones. Most of the blunders stem from trade-offs that companies faced when designing their products and services. In the final weeks of 2017, reports surfaced that Apple throttles the CPU performance of older iPhones. The narrative spread that it’s all part of a planned obsolescence conspiracy: Apple makes old iPhones worse so users will upgrade to the latest model. After the backlash, Apple issued a statement that framed the issue as a trade-off between battery life and performance. Apple described how they, “delivered a software update that improves power management during peak workloads to avoid unexpected shutdowns” as batteries age. There’s an unshakeable story cemented in the minds of consumers: installing new software will make my older phone run more slowly, all because Apple wants me to spend more money. In a press release last week, Tim Cook stated that “customers are taking advantage of significantly reduced pricing for iPhone battery replacements.” These replacements harmed sales of the latest iPhone models. Imagine if Apple disclosed their policy in a slide at WWDC, when they announced the latest version of iOS. People may have grumbled, but Apple would have gotten ahead of the controversy. If you need to make a change, inform your users about why you’ve made your decision, and tell them what you’re going to do before you do it. When policy changes, it’s likely to be unpopular with a subset of a company’s users. However, these users are more likely to accept a change if they understand the reasoning behind it. Apple included their reason for slowing down iPhones in their press release, but it was buried in their message. Technology evolves more quickly than typical users can learn how new technology works. “How else do you explain me seeing an ad for a product I talked about, but I never searched for?” Average users don’t know what ad-targeting is, nor how sophisticated it’s become. If you’re making a change that may upset some portion of your users, don’t bury it in your byzantine Terms of Service agreement. 2018’s controversies show that people are aware of the massive influence technology companies have over what people see. While the technical ineptitude of our elected representatives is laughable, at least we saw bipartisan consensus that big tech possesses great power and that we should hold big tech to a higher standard. Technology platforms including Patreon and Pinterest removed various hate groups and extremists. Moreover, Google, Facebook, Twitter and YouTube will be making more decisions about what individuals and publications have authority. If big tech doesn’t adopt more transparent policies, the backlash will only get worse. This week, we’ll see CES keynotes from executives painting grand visions of how AI/5G/Blockchain/Autonomous Vehicles will usher in a new era of innovation. Journalists will write get hands-on with new gadgets and spread stories about the latest trends in technology. I hope these journalists hold big tech to a high standard, and that they educate their audience about the trade-offs that go into making consumer technology products. I hope that when there’s a controversy that they investigate and report on technology policies without oversimplifying and sensationalizing the truth. My wish for CES and for the year ahead is that the technology industry learns the lessons of 2018 and that it makes transparency a priority.",TECHNOLOGY
"  Apple and Samsung have both shown weakening in China sales as trade war rhetoric appears to have stimulated Chinese consumers to buy more local brands like Huawei. Apple has a new partnership with Samsung, but both appear losers to Chinese smart phone brands. Apple wants to pivot to “services”, which according to Tim Cook has ballooned into a $41 Billion cash-cow for the moment. Apple Music is already being beaten by the likes of Spotify (better AI) and Tencent Music (bigger market). Amid some very odd warnings and iPhone sales metrics changes, Apple is clearly not the company it used to be. With an economic slowdown likely approaching in 2019 and a global recession in 2020, a luxury brand like Apple can’t hope to possibly do well in their chief cash cow of iPhones moving forwards. Apple’s stock has been hammered recently due to the bearish sentiment on FANG recently, and more indications that Apple’s internal culture of innovation is failing. Apple’s sales warnings and weakness in China underlies the destructive power of the trade and tech wars between America and China. Apple CEO Tim Cook sent a note to investors warning that first quarter revenue would reach about $84 billion, lower than the $89 billion-$93 billion the company had previously guided. ApplePay did not realize its potential, though I think it’s safe to say the AppleWatch matured into a stellar wearable product, albeit a premium luxury consumer product. Some would argue that Apple needs to acquire something to keep its magic, but that’s not typically in Apple’s DNA. But Apple’s future in China is over, it will lose marketshare in a significant way in 2019 I expect. If China can snuff out foreign competitors like Korean brands, there’s no reason to expect even successful brands like Apple or Starbucks have a long-term future in China. Apple is an awkward outdated luxury sector brand in a space where the repurchase cycle is will get hit hard by a global recession in the 2019 to 2021 period. Apple needs to untether itself from the past, and the iPhone to realize its next potential. Apple has incredible customer satisfaction and loyalty in the industry, but it has to convert that to the future with new products and real innovation. However, let’s not be naive, Apple’s decline in iPhone shipments poses an immense risk to its strong services growth. Apple’s ability to increase its average selling price for the iPhone is a boon and a curse to its brand reputation. In Apple’s last fiscal year, the company generated $100 billion in revenue not tied to the iPhone, Cook says. The AppleWatch can flirt with AFib or ECGs but that’s not the kind of innovation one expects from a company with the kinds of talent and cash Apple possesses. Apple has become more unloved by Wall Street analysts than at any time in the past 14 years and it should concern Apple geekdom and fanboys. Apple’s services, which include the App Store, iTunes, Apple Pay, Apple Music and iCloud, have been growing rapidly quarter over quarter, but is that a definitive future?",TECHNOLOGY
"  Amazon’s voice recognition software only listens when you say the word “Alexa,” right? After you say the magic word, your Alexa-enabled device must listen for your request, interpret it, and respond. Just how much does Amazon really listen to inside your home? How much you really know about how voice technology works when you unboxed your Alexa-enabled device? You may have assumed your Echo or Dot listened and responded using the small computer housed inside the device itself. Now that you know that your voice recordings are being sent via the internet to a centralized location, you may have assumed Amazon will need to store that data for some period of time — for example, to use its Natural Language Processing algorithms to interpret your request for a weather report (or to buy a pizza), gather that information, and then send it back to your device for it to speak the response. The transaction happens so quickly that you assume Amazon would have no reason to keep the recording of your voice any longer than a few seconds. Think of how much storage space Amazon would require for all of the audio files. Imagine for a moment that you were curious about what, precisely, your Amazon Echo or Dot device recorded in your home. To satisfy that curiosity and put your mind at ease, you ask Amazon to send you a copy of the data your device has collected since you bought it. Imagine your horror as you open the attachments and begin listening to the recordings: A discussion of what to have for dinner, two children arguing over a toy, a woman talking to her partner as she gets into the shower. You weren’t really sure if Amazon would keep recordings at all. With equal parts relief and horror, you realize you are listening to someone else’s Echo recordings! As it turns out, all of your assumptions about voice technology were wrong. It is precisely what happened when a German citizen who requested his data files from Amazon under the European Union’s GDPR regulation. He expected to get a list of the products he has purchased, how he paid, and other commercial profile data Amazon compiled. According to the story originally reported by the German investigative magazine c’t, Amazon admitted the mistake, citing human error in sending him the wrong file. Also, Amazon was only compelled to comply with the request for data because the requestor was a European Union citizen. To put it in even simpler terms, if you own an Amazon Alexa-enabled device, Jeff Bezos could be the least creepy person listening to you right now. Or asked a different way: Is that weather report worth someone at Amazon listening to: Are you okay with a random person (who received your data file by mistake) listening to that? I used to believe this was a “boogieman” issue — that worst-case scenarios like the one described didn’t really happen. The tyranny of menus and why is “voice” such a big deal. To understand why companies are investing so much in voice recognition technology, and why they risk invading your privacy, you have to understand how objectively poor today’s “digital” experience is and how it got that way. Voice is the natural way humans interact with others and their environment. But in the early days of the internet, interactive voice technology was neither advanced enough nor cheap enough to use outside of a few advanced laboratories. The most cost-effective voice technologies of the day were “telephone menu tree” systems that infuriated even the most patient callers. As just one example, think about this simple use case: I would like to play Prince’s “1999” on my iPhone. Or, consider this voice-based alternative: “Siri, play Prince’s 1999.” Four words. One voice command step. Menus don’t only dominate the user interface of smartphones, computers, tablets, and websites, but we find them everywhere — kiosks, airport terminals, medical devices, automobiles, and home appliances. Think about it: That infuriating menu in your Toyota Camry, your CPAP machine, or your GE refrigerator is an ugly holdover from the early days of GopherNet and ARPANET … just like the QWERTY keyboard is an ugly holdover from the early days of IBM typewriters. Voice interactions are different — and not the type of robotic voice commands you give your car; those are simply audio menus, and they are terrible — no, the true potential of voice is unlocked with Natural Language Processing algorithms that learn to interpret and respond to natural human speech patterns. In a menu-driven world, our devices aren’t listening to us, they are waiting for an input. That’s the quantum leap voice technology promises: For the first time in human history, machines can truly interact with us. But as we’ve seen, that’s not how people think voice technology works. Because we are so used to machines waiting for our commands, we’re not conscious that many of them are now listening to us go about our daily lives. Contrary to the image created by advertising of a fully conversational human-computer interface (a la the Star Trek “computer” or “J.A.R.V.I.S.” from Marvel’s Iron Man), if you try to hold a “conversation” today with Alexa, Cortana, Siri, or Google, you will be disappointed. Most people who use voice technology quickly learn its limitations and adjust their expectations. In fact, most people use Alexa-enabled devices to tell give them weather reports or to play on-demand music. But if voice technology is to improve, its developers need to listen to and analyze many more interactions. Their argument for listening is simple: As consumers get better at interacting with voice technology, the technology will learn and improve. Voice is a form of biometric data — something that is uniquely yours. Additionally, voice technology invades your privacy in an insidious way, always listening, always recording, and always learning more. Voice technology is the ultimate behavioral study that you didn’t realize was happening. As we’ve discussed, they need that data to improve their voice technology, and you’re willingly giving it to them. A response from Amazon: “We’ve built in multiple layers of privacy protections into Echo devices. By default, Echo devices are designed to detect only the wake word “Alexa.” The device detects the wake word by identifying acoustic patterns that match the wake word. Customers can review voice recordings associated with their account and delete those voice recordings one by one or all at once in the Alexa app or at https://www.amazon.com/alexaprivacy.” – Amazon Spokesperson About Jason Voiovich Jason’s arrival in marketing was doomed from birth. These days, instead of trying to invent novelty snack dispensers, Jason has dedicated his career to finding marketing’s north star, refocusing it on building healthy relationships between consumers and businesses, between patients and clinicians, and between citizens and organizations. Our next great leaps forward are just as likely to come from advances in humanity as they are advances in technology.",TECHNOLOGY
" Netflix just unlocked the first truly viral movie. Some of the most successful movies of all time did a large part of their business due to word-of-mouth. This isn’t something Netflix could have done even a few years ago. In the good old days, to see a “viral” movie, you had to hear about it, look up a showtime at a local theater, drive to said theater, buy a ticket to said movie, and sit through said movie in said theater. In this new era, you perhaps don’t even have to hear about said movie — again, maybe it’s just right there when you open the app — you simply sit through said movie in your living room.¹ Said another way: time, time, time, money, time has been compressed down to just time.² Talk about streamlined. In my case, I watched Bird Box because so many people were talking about it on Twitter. It was word-of-mouth, but not necessarily in the normal sense — again, the movie is decent, but not great and the chatter I saw was largely meme-based! It was clever because unlike so many other movie trailers shown during the event, the kicker was that you could watch the movie right now. First, you don’t even need to spend tens of millions of dollars to promote this type of movie. In fact, a simple in-app promotion likely reaches as many people as a Super Bowl ad — and it undoubtedly leads to much higher conversion! Second, for the virality to truly work, the movie has to be at least halfway decent. Last night, Bloomberg’s Eric Newcomer and I had a debate about whether or not Netflix runs the risk of a “boy who cried ‘wolf!’” situation if they keep doing these tactics with less-than-stellar movies. I agree that this is a risk, but far less of one than with movies in theaters. But again, if a movie isn’t loved (or at least talked about) by most people, the true virality won’t kick in. And, of course, it does ultimately behoove Netflix to only massively promote films they’re proud of, from a brand perspective.³ Then again, they have the data to know what their audience wants to watch (even if they say something different in public), and they can very granularly tailor such promotions to certain people based on such desires. Of this I’m certain: if Bird Box were released in theaters, relatively few people would have seen it. It was a longer, less clever version of A Quiet Place.⁴ The only reason it would have generated any business was the same reason it would have gotten made: Sandra Bullock.⁵ But on Netflix, her star power, mixed with the aforementioned reduction of friction and Netflix’s promotion led to a huge hit. ² I would argue ‘money’ is removed because you’re paying for Netflix anyway — though there are probably at least a few people who signed up for Netflix in order to watch Bird Box? ³ Though you could argue they wouldn’t make (or buy) a film they weren’t proud of in at least some capacity… ⁴ A movie which, you could certainly argue, did so well because of — wait for it — great word-of-mouth (great irony given the plot, to boot!) Which would undoubtedly be a Netflix movie these days.",TECHNOLOGY
" Major players in the cloud-computing space — AWS, IBM, and others — have successfully rolled out blockchain-based products. Blockchain, the technology that underpins crypto-currencies like Bitcoin and Ethereum, allows for relatively secure distributed transaction logs that are difficult to forge. This kind of security is extremely useful in industries where products or items need to be tracked throughout their lifecycle, like packages, vital records, and identities. Being able to track a diamond from the moment it is unearthed in a diamond mine all the way to its final purchaser ensures that legitimate stones are not swapped for or stolen or illegitimate ones — aka, “blood diamonds” or “conflict diamonds” — allowing governments and merchants to ensure they are not trafficking in illicit goods. The rise of Kubernetes has been on the horizon for a long time now and its prominence was just about a foregone conclusion due to its backing and heritage (Google). Born out of Google’s Borg scheduler which it uses internally, Kubernetes is a “container-platform-in-a-box” designed for modularity. Recruiters are now looking for people with Kubernetes experience because it has become the de facto container runtime, with even AWS and Google Cloud now offering a managed Kubernetes service. Stop me if you’ve heard this before: new open-source virtual infrastructure platform gains massive popularity due to its hyper-scale ability, giving companies the ability to run their own internal virtual platforms. After years of sunk budgets, millions of developer hours contributing back to the project to fix its myriad issues, and the growing complexity of its demands, companies finally pull the plug on their efforts and move to more stable and sustainable platforms. Like OpenStack, Kubernetes’ modularity and scalability comes with a complexity and human-hours cost. Also, with Kubernetes having its first major vulnerability this year, its only a matter of time until security researchers find more. But that stability comes at a cost: the language maintainers have stated that it will stay rather static and they don’t plan on adding any of the niceties that make languages like Python easier to work with. Once again, security vulnerabilities continue to hang over our heads like so many boogiemen. From state-sponsored cyberwarfare compaigns to engineers being complete idiots, 2018 saw its fair share of security stories. Additionally, high-profile companies like Ticketfly, Orbitz, Delta, Sears/KMart, Macy’s, and Adidas all disclosed security breaches of their own — and that was all before the end of July. The Department of Homeland Security disclosed a breach in which 247,167 current and former DHS employees had their personally identifiable information stolen by a former DHS employee. And these are just the ones that we hear and know about; there are countless other breaches happening all the time that are either never found out, never disclosed, or never reported on. Part of the problem is that cybersecurity is trying to prove its value by proving a negative: good security is worth it because nothing happens, but does nothing happen because of the security or because no one targeted the company? Cybersecurity is not a young field, some of its core principles have been around since the inception of computing, but modern security engineers are tasked with understanding those principles but also understanding modern computing as it grows ever more complex. The net result is a corps of security engineers that either understand the principles and try to apply them to everything (“security by checkbox”) or that understand modern computing but don’t understand good security practice. Everyone from IBM to Jabra have jumped on board and are offering “AI-powered” products, some with more realistic claims than others. And that’s certainly part of the problem with the AI buzz: there’s a lot of snake oil out there from companies just trying to ride the hype. Personally, I take issue with the use of the term “AI” to describe anything that cannot pass an unscripted Turing test, but I digress from the larger point: that not every problem is a potential application for machine learning (what today’s “AI” really is). Machine learning doesn’t need to, and probably shouldn’t be, used to cancel out background noise on a pair of headphones when we can do that just fine as it is, nor should it probably manage our finances, yet we see these types of products popping up all over the place. Consumers are going to start realizing that the AI-powered TV remote they just shelled out an extra $50 a month for doesn’t help them change channels any better than their free one, or that maybe managing an old analog thermostat wasn’t that hard after all and they don’t need a wifi-enabled AI-powered IoT device that costs $300 do it for them.",TECHNOLOGY
" Still, I was surprised to see quite a few articles citing the lack of innovation on Apple’s part as the reason for the missed forecasts, or implying that raising the prices for iPhone X and XS was the wrong move on the company’s part. I believe both of those statements are incorrect, and, more importantly, arguing that the current slowdown is Apple’s fault (and thus could have been avoided by employing a different strategy on the company’s part), means missing the key point here — which is that what happened was simply inevitable, and there was absolutely nothing Apple could have done to prevent it from happening (well, aside from forecasting revenue growth less aggressively, of course). Going back to Apple, the first wasn’t really the option — the company historically has been producing premium hardware products, and going after the margins rather than the market share. Flagship devices from other manufacturers it competes against often cost only slightly less, and are instead chosen by the customers for reasons other than just the price — by reducing iPhone prices, Apple would have likely gained only a limited number of new users, and at the same time risked depressing its margins for the entire iPhone user base, leaving it worse off, not better, than before. And going after the lower-priced competitors would mean that Apple would have had to get in a different business altogether, having to compete in lower margin categories for the customers who were unwilling or unable to pay a price premium for Apple’s products. While it’s possible that Apple could have gained additional market share this way, it takes a completely different mindset to compete in this segment — one that Apple doesn’t have, and that goes against a lot of things that made Apple successful in the first place. So, if the Apple had no real way to grow its user base in the recent years, the only viable strategy it was left with was to raise prices to extract higher rents from its existing user base, which is exactly what it has done over the last few years. Arguably, the company’s financial performance last year proved that it was the right strategy too — despite the higher prices, it managed to sell the same number of iPhones as it did in 2016, proving that the customers were willing to pay the higher prices (the growth in the number of devices sold waned the year before that, making it hard to argue that, if not for the price increase, Apple would have sold more devices). As to what happened in 2018, it had nothing to do with the price hike — rather, with the maturing hardware and longer upgrade cycles, it was simply inevitable that at one point Apple would face a decline in sales no matter what it did. iPhone X might have been innovative enough to incentivize users to upgrade, but it’s arguably impossible to spit out large updates like that every year (which was also the reason for Apple’s 2-year product cycle in the first place, with the company releasing a significant update to the iPhone in one year, and then making iterative improvements upon it the next year). Finally, one might argue that instead of raising the prices, Apple could have kept them steady instead or even lowered them, in order to make it an easier for its current users to justify the more frequent upgrades to the new hardware. The issue with this logic goes back to the point made in the previous paragraph — with the maturation of the smartphones as a category, the users simply see no reason to upgrade as frequently as before, and keeping the prices at the same level or slightly lowering them wouldn’t magically create the need to do so. And on the contrary, with the longer upgrade cycles, a lot of Apple’s customers (who, arguably, weren’t particularly price sensitive to begin with) might have easier time swallowing the higher price tag, if it means getting a device they’d be happy with in the years to come. There are two reasons for that: first, Apple’s recent troubles are most definitely directly tied to the iPhone sales, so it seemed to make sense to focus on it; second, I’ve already expressed my opinion about the growth potential of other products Apple sells in my previous article, and simply had nothing to add to that.",TECHNOLOGY
" I bike commute a few times a month, but it’s a 1,000' climb on the way in, and kind of an awkward duration: too short for a proper workout, but just long/steep enough to ensure you show up covered in schvitz, having to change clothes and do the whole rigamarole upon arrival. Lately, my buddy won’t shut up about micromobility and ebikes, and last weekend something finally clicked for me: 4 mile trips, 3 mile trips, 2 mile trips are not a good fit for a car, truck or van. Then he asked me, point blank: “Is there a good reason you can’t just take an ebike to work?” I tried to visualize ebiking the 4 mile route to work. But after researching zillions of ebike options, I grew disappointed by the consistently lame designs, high cost and low motor power (usually 250w). There are a few different electrification options (like an in-wheel hub motor you can even get at WalMart), but the real deal is a “mid drive” kit, which basically sends tons of power to your chainring, propelling you either with pedal-assist, or a throttle on the handlebar. A little more research revealed that — shocker — a Chinese company makes a reliable, powerful and affordable 1000w mid drive motor (the Bafang “bottom bracket system heavy duty,” or BBSHD) that is tried and true, backed by countless testimonials. When I described my off-road commute, people with this motor laughed and told me I’d be able to get up insanely steep hills no problem. Lithium-ion is the battery of choice, and a 13.5ah battery reportedly propels you around 30 miles (see below for my actual field test results). I searched around, and found that Unruly sells a turnkey conversion of the same bike for $4,550 with solid battery and components, but only using the weaker 750w Bafang motor. Then we screwed in both the 68mm and 100mm version of the motor to dry fit two different options. It was hard to tell which one to use for a 73mm bottom bracket, but after studying both options screwed in, the 100mm had a better Q Factor (technically, the distance between the pedal attachment points on the crank arms, but practically, how far your feet are apart while pedaling), but required a ton of spacers to make work and worried us that it could loosen over time. The 68mm fit perfectly, but the left pedal was closer to the frame than the right pedal, and there was a noticeably smaller Q Factor. So we popped on an offset crank on the left side, which miraculously rendered perfect symmetry and Q Factor. The motor hangs (chainring side), and secures via bracket (left side) onto the black threaded piece screwed into the bottom bracket. The motor has two bolt holes that attach to the bracket on the left side, and you want the housing of the forward bolt hole to sit flush, metal on metal (allowing for a permanently tight fit with no compression), against the bottom of the down tube, as the motor is going to put a ton of pressure at that touchpoint. We then popped the cranks and pedals on, prepped a new chain to accommodate a 42-tooth instead of 30-tooth chainring (tip: to calculate the extra number of links you need, just subtract the old chainring teeth from the new one, and divide by 2; in our case, we added 6 links). Then we pulled out the rear derailleur cable, and chopped a 2-inch gap in the cable housing to make way for a “shift detector,” a somewhat controversial bell/whistle that turns off the motor for a microsecond while you shift gears, reducing wear/tear on your cassette according to some. It also makes it feel kind of like shifting gears in a motorcycle in a Metrosexual Sons of Anarchy kind of way. The connection point between the battery pack and the frame mount (which then connects to the motor and controls) used to be in the middle, limiting options for connecting the mounting plate to the frame. This one moves the connection point way to the bottom, so you have many more options for mounting a bike frame, all of which are different. The design is so new, however, that the dudes in China installed the charging inlet upside down, so we had to open up the battery pack and flip it over. Sadly, the options we had for connecting the mounting plate to the factory threaded holes were off by about 1/8 of an inch and we couldn’t access them. The factory rivet nuts were a bit taller than the new ones, so we ground them down a touch to ensure the battery mounting plate will set flush against the downtube. Since the wiring is one-size-fits-all (one of the only downsides I can think of to retrofitting vs buying a turnkey ebike), you have to get creative with scrunching up and ratcheting down the excess wiring. The whole setup flies in the face of minimalism: though clean and tight, there are wires zip tied everywhere, there’s a color display on the bars, and it takes two hands and a grimace to pick it up. I went for a more robust field test today, trying out two different commutes from my house to my office. I immediately biked home, and returned to the office taking what I’ve found to be the most direct bikeable route, which takes me about 25 minutes and burns about 300 calories on my gravel bike. The battery was close to dead when I got home, leaving me to question whether I could reliably get to/from San Francisco on a single charge. Time will tell, but I have to imagine that this experiment pushed the equipment pretty hard, and could see getting 30–40 miles on a lower setting with much less elevation gain. Overall, the ebike is strongly positioned to solve my 4 mile problem. It will get me to work and back using a few amp hours of electricity, which gives the commute a whole aura of lightness. Mutual smiles from other stoked bike commuters is always nice, and it just feels good to be outside.",TECHNOLOGY
